Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
U1,,ESP32-WROOM-32,50.00,35.00,0,top
U2,AMS1117-3.3,SOT-223,20.00,25.00,0,top
U3,CP2102N,QFN-28,85.00,25.00,0,top
U4,TJA1050,SOP-8,85.00,55.00,0,top
U5,ULN2003A,SOP-16,35.00,55.00,0,top
U6,MP1584EN,SOT-23-5,15.00,25.00,0,top
RL1,,SRD-05VDC,15.00,45.00,0,top
RL2,,SRD-05VDC,27.00,45.00,0,top
RL3,,SRD-05VDC,39.00,45.00,0,top
RL4,,SRD-05VDC,51.00,45.00,0,top
RL5,,SRD-05VDC,63.00,45.00,0,top
RL6,,SRD-05VDC,75.00,45.00,0,top
L1,33uH,CD54,20.00,30.00,0,top
BZ1,,12mm,90.00,45.00,0,top
F1,5A,1812,10.00,20.00,0,top
D1,1N4148W,SOD-123,15.00,50.00,90,top
D2,1N4148W,SOD-123,27.00,50.00,90,top
D3,1N4148W,SOD-123,39.00,50.00,90,top
D4,1N4148W,SOD-123,51.00,50.00,90,top
D5,1N4148W,SOD-123,63.00,50.00,90,top
D6,1N4148W,SOD-123,75.00,50.00,90,top
D7,SS34,SOD-123,22.00,28.00,0,top
LED1,Green,0805,88.00,35.00,0,top
LED2,Blue,0805,92.00,35.00,0,top
